Name,Year,Spoiler,OpenAI analysis,Was it right?
zucker,2011,Text raytracing,"

This program is a ray tracer, which is used to generate an image of a 3D scene. It uses a technique called ray tracing to simulate the interaction of light with objects in the scene. The program reads in a scene description and uses the information to generate an image of the scene.",Close enough.
hou,2011,Scientific calculator,"

This program is a calculator program written in C that can perform basic calculations such as addition, subtraction, multiplication, division, and other functions such as square root, exponential, tangent, and logarithmic functions. It also provides a user interface to enter the calculations.",Close enough.
akari,2011,Downsampler with 3 embeded programs,"

This program reads an input file and writes to an output file in a specified format. It reads a file containing a header (k, A, i, r) and a set of bytes and writes the bytes to the output file in a modified format. The program also performs a bitwise XOR operation on the bytes in the input file.",Wrong!
blakely,2011,Life/reverse life,"

This program is a game of life simulation written in C. It takes in user input and uses it to generate a grid of cells that evolve according to a set of rules. The output is a graphical representation of the grid that changes over time.",Close enough.
fredriksson,2011,Aproximate grep,"

I dont know",
richards,2011,JIT dc,"

This program is a compiler for a small programming language. It reads in an input from stdin and compiles it into an executable. It uses a set of functions and data structures to parse the input and generate the executable.",Wrong!
goren,2011,Magritte tribute,"

This program appears to be a code snippet that creates a function in the C programming language. The purpose of the function is not clear, however it appears to be manipulating strings and characters.",Wrong!
konno,2011,QWERTY keyboard position identifer,"

I don't know.",
lycklama,1985,"heavily cpped with o_oo identifiers, scrolls text right","

This program prints out a triangle of asterisks (*) of varying sizes depending on the value of the constant __o.",Wrong!
august,1985,"cpp obfuscated, compressed, main-recursive primes in binary","

This program prints out the binary representation of a given number.",Wrong!
shapiro,1985,"two defines, one 7-liner, results in a maze","

This program generates a random maze of size C x R (where C and R are variables) and prints out the maze.",Close enough.
sicherman,1985,rot13 with strange #defs that create comment headers etc.,"

I don't know.",
applin,1985,"one-liner to print hello world, with execlp","

I don't know.",
anonymous,1984,"prints hello world, where read is write","

I don't know.",
laman,1984,"prints spiralling numbers, laid out in columns","

I don't know.",
mullender,1984,hardcoded vax and pdp-11 code to move :-) across the screen,"

I do not know.",Wrong!
decot,1984,"prints garbage, weird cpp defines (keywords for others)","

I don't know.",
dg,1990,rot13 done with strange cpp macros,"

I dont know",
dds,1990,"basic interpreter, heavily compressed","

I don't know.",
tbr,1990,"simple compressed shell, silly layout","

This program is a shell script that executes commands with the use of pipes, forks, and other system calls. It uses system calls such as chdir, pipe, and dup2 to execute commands with the given arguments.",Close enough.
westley,1990,"poetic exchange between lovers, prints ""luvs me, luvs not""","

I dont know.",
scjones,1990,trigraph-abusing self-reproducing program,"

This program creates a source code file for a C program. It includes header files, defines macros, and prints out the main function as well as the closing brackets for the program. It also includes comments to explain the program's purpose.",Wrong!
pjr,1990,"the quick brown fox... cppd, structs of functions","

This program prints out the alphabet in reverse order.",Wrong!
cmills,1990,squished blackjack game,"

This program is a card game written in C language. The program creates a 52-card deck and deals out cards from the deck, based on the user's input. The game is a simplified version of Blackjack, where the user attempts to get as close to 21 as possible without going over. The player can also get a score for having two of the same card.",Close enough.
stig,1990,nested-comment tester (all on command line),"

I don't know.",
baruch,1990,short prog to solve N-queens problem,"

This program is a C implementation of a game of 'Q'. It takes an input from the user, stores it in the variable 's', and then uses a for loop to set up a game board. The board is represented by an array 'a', and the program uses the 'scanf' and 'printf' functions to interact with the user. It then uses the values of 'i', 'j', 'k', 'l', and 'v' to update the game board and check for a win condition.",Close enough.
jaw,1990,compress & atob standins,"

This program is a decompressor for an algorithm called ""LZW"" (Lempel–Ziv–Welch). It takes an input of compressed data and decompresses it.",Close enough.
theorem,1990,"numerically solves the equation y'=f(x,y)","

This program is a sorting algorithm that sorts an array of 500 elements of 99 characters each using Shell Sort. It also includes a function that computes the value of a mathematical expression.",Wrong!
bas2,1998,determines the size of stdin under IOCCC sizing rules,"

I don't know.",
dloweneil,1998,A very addictive ASCII poot game,"

This program is a C implementation of the classic game Tetris. It uses the curses library to create a console window and manages the game logic, pieces, score, and other aspects of the game.",Close enough.
schweikh1,1998,Tests to see if your compiler and headers are standard,"

This program appears to be a C program that reads files and prints out the contents of those files. It also appears to be using the preprocessor to define macros.",Wrong!
bas1,1998,Outputs a gziped 3D beam maze in Postscript,"

I don't know.",
schnitzi,1998,Prints a C program that sorts arguments using strange functions,"

This program is a C program that implements a sorting algorithm. It sorts an array of integers using a modified version of the bubble sort algorithm. The program uses various functions to compare and swap elements in the array, and the main function uses a loop to call each of the functions until the array is sorted.",Close enough.
dorssel,1998,ASCII / Morse code translator,"

I don't know.",
schweikh2,1998,Prints random 0's and 1's; causes some gcc's as passes to choke,"

I don't know.",
dlowe,1998,Pootifies stdin (useful to view Microsoft html files),"

This program is a program to convert a string of text to lowercase or uppercase depending on the case of the first letter. It does this by comparing each character to the corresponding character in the ""poot"" and ""pootpoot"" strings, then printing the result.",Wrong!
fanf,1998,Translates Lambda expressions into combinator expressions,"

This program is a Lisp interpreter written in C. It takes a Lisp expression as input and evaluates it based on the predefined functions, variables and operators.",Wrong!
tomtorfs,1998,CRC generator,"

This program is an encryption algorithm that takes in 7 user-defined parameters and encrypts the contents of a file.",Wrong!
schweikh3,1998,Finds duplicate files that waste disk space,"

This program is a C program that prints the links of a directory tree. It takes in an input of a directory tree and prints all the links of the directory tree.",Wrong!
chaos,1998,Rotates and zooms an object using ASCII graphics,"

This program is a C program that displays a graphical representation of a set of numbers from a text file. It uses the curses library to draw the lines on the screen and uses the keyboard input to rotate the points around the origin.",Close enough.
banks,1998,A flight simulator!,"

I don't know.",
df,1998,A word guessing game,"

I dont know",
dds,1991,"basic compiler, heavily compressed","

This program reads a file, manipulates its contents, and writes the result to a new file.",Wrong!
cdupont,1991,prints a message without vowels,"

I don't know.",
fine,1991,rot13s lines of input,"

I don't know.",
rince,1991,"game with sprites, boulders, dimonds, and keys","

I dont know.",
ant,1991,compressed vi-like editor,"

This program is a text editor written in the C programming language. It allows a user to edit and save text files with the use of keyboard commands.",Close enough.
westley,1991,"plays tic-tac-toe, compile output for next move, prints board","

I don't know.",
davidguy,1991,"plays life on a root window, doesn't need Xlib or include files","

This program appears to be a cryptographic algorithm. It looks like it is used to encrypt data by manipulating bits in memory.",Wrong!
buzzard,1991,walk thru a maze from a first person point of view,"

This program reads a file and prints a character-based diagram of it.",Wrong!
brnstnd,1991,sorta stack language,"

This program looks like an obfuscated C program. It is difficult to understand what this program does without more information. I don't know.",Wrong!
gandalf,1996,Displays the ASCII and 8 bit character tables,"

I dont know.",
schweikh1,1996,Calculates Easter dates from 1582 to 2199 AD,"

This program prints the date (in a specific format) of a certain given year (between 1582 and 2200).",Close enough.
westley,1996,Shows the time on clock with a configurable face and style,"

I don't know.",
jonth,1996,X based dual player tic-tac-toe game,"

This program appears to be a program written in C that creates a window with a graphical user interface. It uses the X11 library to create the window and set its attributes. It also sets up a background pixmap and maps it to the window. Finally, it maps two ""II"" images to the window.",Wrong!
rcm,1996,Gunzip equivalent,"

This program is a hierarchical binary Huffman coding algorithm. It is used for compressing data to reduce memory used for storage and transmission. It works by assigning a code to each symbol based on its frequency in the data. The most frequent symbols are assigned shorter codes and the least frequent symbols are assigned longer codes. The codes are then used to represent the data in a more compact form.",Close enough.
schweikh2,1996,Search for a limited class of expressions that equal a constant,"

I don't know.",
august,1996,Subset of C compiler and byte code interpreter,Error: Too many tokens,
huffman,1996,Braille to ASCII and vice versa,"

This program appears to be written in C language, but it is incomplete and contains syntax errors, so it is not possible to determine what it does.",Wrong!
eldby,1996,Flying 3D spheres in an ASCII display,"

This program is an implementation of ray-casting, which is a 3D rendering technique used to create a two-dimensional image from a 3D scene. It uses a set of coordinates to define a 3D space, and then casts a ray from the camera to each pixel in the image, checking for intersections with the objects in the scene. Based on these intersections, it creates a 2D image that represents the 3D scene.",Close enough.
schweikh3,1996,Determins the memory allocation honesty of the OS,"

This program is trying to allocate memory with the calloc and malloc functions. It also prints out the amount of memory it is trying to allocate, and whether or not it was successful. It also detects if the system is thrashing due to too much memory being used.",Close enough.
dalbec,1996,Generator of strong probable-primes to a given base,"

This program is a recursive implementation of the Quine-McCluskey algorithm, which is a method of simplifying Boolean equations.",Wrong!
vince,2005,Rotating GL Cube demo,"

This program is a C program that renders a 3D cube using openGL and GLX. It sets up the display window, creates a 3D cube, then rotates it and draws it repeatedly.",Close enough.
vik,2005,Wolfenstein style graphics engine,"

This program appears to be a game engine for a 2D game or animation. It creates the window and graphics context, initializes the variables, sets up the scene, and then continually updates the graphics based on user input.",Close enough.
mynx,2005,Web browser,"

I don't know.",
anon,2005,Multi-dimensional sliding tile puzzle generator,"

This program appears to be a game of sorts; it appears to print out a game board and accept user inputs to control a character on the board. It is difficult to determine the exact game being played without running it.",Close Enough!
toledo,2005,Play chess,"

I don't know.",
klausler,2005,Anagram generator,"

This program is a word generator that uses a dictionary file (dict.h) and an array of strings (x) to generate all the possible words of a given length (m) from the input words in the array (A). It uses a recursive algorithm to generate the words, and then prints them out.",Wrong!
giljade,2005,2D sliding tile puzzle solver,"

I don't know.",
jetro,2005,Audio synthesizer,"

This program is a synthesizer program written in C. It uses the SDL library to generate audio data for playback. The program includes macros, variables, and functions to produce sound based on two different sets of characters. The program processes the characters in two different ways, generating waveforms to produce sound. The program also utilizes sinusoidal functions to produce different sounds.",Close enough
sykes,2005,Commodore PET emulator,"

This program appears to be a Commodore Basic program, which is a programming language used on Commodore computers. It appears to be setting up a user interface with a command line, reading user input from the command line, performing various calculations and operations, and displaying output.",Close enough.
timwi,2005,A BF lanaguage interpreter,"

I don't know.",
aidan,2005,Sudoku solver,"

This program is a Sudoku solver. It is written in C and uses backtracking to solve the puzzle. It prints out the solution and the number of steps taken to solve the puzzle.",Close enough!
chia,2005,Java parody,"

I don't know.",
persano,2005,Generates animated knots,"

This program creates a graphical pattern by repeatedly writing characters to the standard output. It uses a set of functions and macros to read command line arguments, create a pattern, and write the output. The pattern is determined by the values provided for P and Q.",Close enough.
mikeash,2005,Self-printing Common Lisp interpreter,"

This program is a Lisp interpreter written in C. It reads Lisp expressions, evaluates them and prints the result. The program is designed to be used as a calculator, where it can evaluate arithmetic operations and manipulate strings.",Close Enough.
boutines,2005,Voronoi diagram generator,"

I don't know.",
sds,2004,Space/tab/linefeed steganography,Error: Too many tokens,
gavin,2004,Mini-OS,"

This program appears to be a C program that implements an algorithm. It appears to be checking for certain values in a given array and performing certain operations on them. I don't know exactly what the program is doing or what the output of the program would be.",Wrong!
burley,2004,A Poker game,"

I don't know.",
omoikane,2004,A CRC inserter,"

This program reads a file and checks if it has a specific layout. If the layout is correct, it writes the file using a different layout. Otherwise, it prints an error message.",Wrong!
newbern,2004,Renders arbitary bitmapped fonts,"

I don't know.",
schnitzi,2004,Editor animation,"

This program is a game of ""Life"". It creates a grid of characters based on the user's input and simulates the rules of the game, with the characters changing according to the rules of Life.",Wrong!
gavare,2004,A ray tracer,"

This program is a pixel art generator that creates a PPM image of the given size (1024x768 in this case). The program uses a custom algorithm to generate the image, taking in parameters such as X, Y, A, J, K, L, M, N, O, and P. It then uses functions such as F, I, H, o, q, n, t, r, s, and main to calculate the Red, Green, and Blue values of each pixel in the image.",Wrong!
jdalbec,2004,Conway's look'n'say sequence split into elements,"

This program is a C program that creates a few data structures and functions to store and manipulate strings. It creates a structure called B, which holds a character pointer and an integer, and functions like BNew, BFree, BGet, and BPut to create, free, get, and put values into B. It also creates a structure called Br, which holds a pointer to a B structure, and functions like BrNew, BrFree, and BrPrint to create, free, and print values from Br. Finally, it creates functions like Dy and Sr to manipulate strings.",Wrong!
arachnid,2004,Curses maze displayer/navigator with only line-of-sight visibility,"

This program draws a maze and keeps track of the user's progress as they traverse it. It also calculates the total number of steps taken by the user and prints it out at the end.",Close enough.
hoyle,2004,Curses based polynomial graphing with auto-scale,"

I don't know.",
kopczynski,2004,"OCR of 8, 9, 10 and 11","

This program is printing out an integer on the screen that is 8 plus the modulo of the given input.",Close enough!
vik1,2004,X Windows car racing game,"

This program appears to be a C program for a game. It appears to be drawing shapes and setting parameters for the game such as speed, time, and high score.",Close enough.
anonymous,2004,Rendering of a stroked font,"

This program appears to be a C program that prints a 2D image on the command line. It uses the characters in the strings defined at the beginning of the program to construct the image.",Close enough.
vik2,2004,Calculates prime numbers using only CPP,Error: Too many tokens,
